state,2017_population,2018_population
Alabama,4875120,4887871
Alaska,739786,737438
Arizona,7048876,7171646
Arkansas,3002997,3013825
California,39399349,39557045
Colorado,5615902,5695564
Connecticut,3573880,3572665
Delaware,957078,967171
District of Columbia,695691,702455
Florida,20976812,21299325
Georgia,10413055,10519475
Hawaii,1424203,1420491
Idaho,1718904,1754208
Illinois,12786196,12741080
Indiana,6660082,6691878
Iowa,3143637,3156145
Kansas,2910689,2911505
Kentucky,4453874,4468402
Louisiana,4670818,4659978
Maine,1335063,1338404
Maryland,6024891,6042718
Massachusetts,6863246,6902149
Michigan,9976447,9995915
Minnesota,5568155,5611179
Mississippi,2989663,2986530
Missouri,6108612,6126452
Montana,1053090,1062305
Nebraska,1917575,1929268
Nevada,2972405,3034392
New Hampshire,1349767,1356458
New Jersey,8888543,8908520
New Mexico,2093395,2095428
New York,19590719,19542209
North Carolina,10270800,10383620
North Dakota,755176,760077
Ohio,11664129,11689442
Oklahoma,3932640,3943079
Oregon,4146592,4190713
Pennsylvania,12790447,12807060
Rhode Island,1056486,1057315
South Carolina,5021219,5084127
South Dakota,873286,882235
Tennessee,6708794,6770010
Texas,28322717,28701845
Utah,3103118,3161105
Vermont,624525,626299
Virginia,8465207,8517685
Washington,7425432,7535591
West Virginia,1817048,1805832
Wisconsin,5792051,5813568
Wyoming,578934,577737
